id,fecha,nombre_empleado,area,actividad_realizada,tipo_incidente,descripcion_incidente,epp_casco,epp_guantes,epp_chaleco,herramientas_estado,altura_trabajo,dias_incapacidad,costo_estimado,foto_incidente
1,2025-03-08,Noé Vega,Mantenimiento,Inspección,Sin incidente,Ronda de verificación,En buen estado,No usa,En buen estado,Dañadas,No,0,0,foto_1.jpg
2,2025-04-24,Bruno Morillo-Olmedo,Soporte,Inspección,Atrapamiento,Reporte rutinario,En buen estado,No usa,En buen estado,En buen estado,No,1,881,foto_2.jpg
3,2025-06-01,Ruperta Reina Torrens,Supervisión,Cambio de ONT,Caída,Resbalón en terreno mojado,En buen estado,No usa,En buen estado,En buen estado,No,5,765,foto_3.jpg
4,2025-02-19,Adolfo Catalán Múgica,Supervisión,Tendido de fibra,Sin incidente,Reporte rutinario,No usa,En buen estado,En buen estado,Dañadas,No,0,0,foto_4.jpg
5,2025-03-24,Cruz Canet Ocaña,Mantenimiento,Cambio de ONT,Sin incidente,Ronda de verificación,En buen estado,Dañado,En buen estado,En buen estado,No,0,0,foto_5.jpg
6,2025-06-01,Desiderio Higueras Campillo,Mantenimiento,Configuración de equipos,Descarga eléctrica,Deslizamiento en escalera,En buen estado,En buen estado,Dañado,En buen estado,No,5,600,foto_6.jpg
7,2025-02-19,Luciana Huerta,Mantenimiento,Reparación,Descarga eléctrica,Contacto accidental,En buen estado,En buen estado,En buen estado,En buen estado,No,2,120,foto_7.jpg
8,2025-06-03,Alberto Muro Marí,Soporte,Configuración de equipos,Corte,Deslizamiento en escalera,No usa,En buen estado,En buen estado,En buen estado,Sí,1,1087,foto_8.jpg
9,2025-06-09,Manuela Gallart Romero,Mantenimiento,Inspección,Golpe,Golpe con herramienta,En buen estado,En buen estado,No usa,En buen estado,No,1,1009,foto_9.jpg
10,2025-05-04,Anselma Garcia Puente,Soporte,Tendido de fibra,Atrapamiento,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,1,1052,foto_10.jpg
11,2025-04-16,Sol Roca Iniesta,Supervisión,Configuración de equipos,Atrapamiento,Corte con fibra,En buen estado,En buen estado,En buen estado,En buen estado,Sí,1,368,foto_11.jpg
12,2025-04-27,Agustín Simó Poza,Instalaciones,Cambio de ONT,Caída,Golpe con herramienta,En buen estado,En buen estado,En buen estado,En buen estado,Sí,2,573,foto_12.jpg
13,2025-05-20,María Del Carmen del Cabrero,Soporte,Inspección,Sin incidente,Sin evento,Dañado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_13.jpg
14,2025-05-20,Josep Aramburu-Alarcón,Soporte,Inspección,Exposición a altura,Caída de escalera,En buen estado,No usa,En buen estado,En buen estado,Sí,1,842,foto_14.jpg
15,2025-04-06,Julia Martorell-Cadenas,Supervisión,Verificación de señal,Atrapamiento,Deslizamiento en escalera,En buen estado,Dañado,En buen estado,En buen estado,No,1,946,foto_15.jpg
16,2025-03-11,Natividad Polo,Supervisión,Tendido de fibra,Corte,Contacto con caja sin aislar,En buen estado,Dañado,No usa,En buen estado,No,1,249,foto_16.jpg
17,2025-02-25,Cruz Bueno Mesa,Instalaciones,Configuración de equipos,Sin incidente,Reporte rutinario,En buen estado,No usa,En buen estado,No inspeccionadas,Sí,0,0,foto_17.jpg
18,2025-04-02,Visitación Reyna Sebastián Río,Supervisión,Verificación de señal,Sin incidente,Reporte rutinario,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_18.jpg
19,2025-03-06,Severino de Román,Instalaciones,Tendido de fibra,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_19.jpg
20,2025-03-13,Verónica Ugarte Muñoz,Soporte,Configuración de equipos,Sin incidente,Reporte rutinario,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_20.jpg
21,2025-06-07,Lupe Araujo Almeida,Supervisión,Configuración de equipos,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_21.jpg
22,2025-06-12,Augusto Gras Larrea,Soporte,Instalación ONT,Caída,Atrapado por cable,En buen estado,Dañado,Dañado,En buen estado,Sí,1,75,foto_22.jpg
23,2025-05-02,Marisela Marisa Pallarès Vallés,Soporte,Verificación de señal,Sin incidente,Reporte rutinario,No usa,En buen estado,En buen estado,En buen estado,No,0,0,foto_23.jpg
24,2025-03-21,Jimena Barón Mir,Supervisión,Reparación,Golpe,Contacto accidental,En buen estado,Dañado,En buen estado,Dañadas,No,1,514,foto_24.jpg
25,2025-06-01,Albert Uribe Escrivá,Instalaciones,Reparación,Golpe,Inspección preventiva,En buen estado,No usa,En buen estado,En buen estado,Sí,4,475,foto_25.jpg
26,2025-05-24,Marcio del Salas,Soporte,Inspección,Golpe,Ronda de verificación,Dañado,En buen estado,En buen estado,En buen estado,Sí,2,579,foto_26.jpg
27,2025-02-26,América Alemán Cepeda,Instalaciones,Cambio de ONT,Corte,Corte con cúter,En buen estado,En buen estado,Dañado,En buen estado,Sí,1,688,foto_27.jpg
28,2025-05-19,Noemí Blanco Mena,Instalaciones,Verificación de señal,Caída,Corte con cúter,En buen estado,En buen estado,En buen estado,No inspeccionadas,No,2,651,foto_28.jpg
29,2025-03-30,Silvia Linares Morán,Soporte,Instalación ONT,Sin incidente,Reporte rutinario,En buen estado,No usa,En buen estado,Dañadas,No,0,0,foto_29.jpg
30,2025-04-14,Ricardo Onofre Boix Andrade,Mantenimiento,Cambio de ONT,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_30.jpg
31,2025-05-22,Adelardo Serna-Correa,Mantenimiento,Cambio de ONT,Sin incidente,Sin evento,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_31.jpg
32,2025-04-21,Alexandra Benet-Llamas,Mantenimiento,Cambio de ONT,Sin incidente,Inspección preventiva,Dañado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_32.jpg
33,2025-06-13,Roberta del Poza,Instalaciones,Inspección,Sin incidente,Reporte rutinario,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_33.jpg
34,2025-04-19,Elpidio Iglesia Salazar,Soporte,Tendido de fibra,Caída,Ronda de verificación,En buen estado,Dañado,En buen estado,No inspeccionadas,No,2,225,foto_34.jpg
35,2025-06-18,Martín Carmelo Ríos Berenguer,Mantenimiento,Configuración de equipos,Corte,Contacto accidental,En buen estado,Dañado,En buen estado,En buen estado,No,3,665,foto_35.jpg
36,2025-06-01,Nacio Gracia,Soporte,Reparación,Exposición a altura,Dedo atrapado en puerta,Dañado,No usa,En buen estado,En buen estado,No,4,894,foto_36.jpg
37,2025-04-15,Clemente Garriga Galván,Soporte,Tendido de fibra,Sin incidente,Reporte rutinario,En buen estado,En buen estado,No usa,En buen estado,No,0,0,foto_37.jpg
38,2025-04-23,Tadeo Rosales Batlle,Soporte,Reparación,Sin incidente,Sin evento,Dañado,No usa,Dañado,En buen estado,No,0,0,foto_38.jpg
39,2025-05-05,Amelia Anguita Reguera,Soporte,Reparación,Golpe,Resbalón en techo,En buen estado,En buen estado,En buen estado,En buen estado,Sí,1,1062,foto_39.jpg
40,2025-05-05,César Lucena Mariño,Mantenimiento,Tendido de fibra,Caída,Atrapado por cable,En buen estado,No usa,En buen estado,En buen estado,Sí,6,381,foto_40.jpg
41,2025-06-04,Imelda Verdejo-Barceló,Mantenimiento,Cambio de ONT,Golpe,Corte con cúter,En buen estado,No usa,En buen estado,En buen estado,No,1,784,foto_41.jpg
